cd_cnpj;vl_latitude;vl_longitude;vl_latitude_orig;vl_longitude_orig;vl_total_veiculos_antt;vl_total_veiculos_leves;vl_total_veiculos_pesados;vlr_total_veiculos;fl_optante_simples;qt_filial;fl_optante_simei;de_saude_tributaria;de_nivel_atividade
7436658000270;-17.5830614;-44.7309343;-17,5830614;-44,7309343;;;;;1;;0;VERDE;ALTA
4796489000100;-20.3477821;-40.2949528;-20,3477821;-40,2949528;;;;;0;;0;AZUL;ALTA
13078538000160;-20.5755416;-47.8689916;-20,5755416;-47,8689916;;;;;1;;1;AMARELO;MEDIA
23160641000290;-17.7444844;-46.1738787;-17,7444844;-46,1738787;;;;;0;;0;VERDE;ALTA
59956359000180;-23.5338276;-46.6889821;-23,5338276;-46,6889821;;;;;0;;0;LARANJA;BAIXA
10719640000100;-23.543851;-46.6334194;-23,543851;-46,6334194;;1;0;1;0;;0;AZUL;MEDIA
8229862000100;-23.4446694;-46.9152289;-23,4446694;-46,9152289;;;;;0;;0;;INATIVA
15822692000120;-21.4083447;-50.0614013;-21,4083447;-50,0614013;;;;;0;;0;AMARELO;BAIXA
8751146000180;-11.8567739;-55.5000857;-11,8567739;-55,5000857;;;;;0;;0;;INATIVA
8328759000100;-7.2282357;-35.8717418;-7,2282357;-35,8717418;;;;;0;;0;;INATIVA
10865200000160;-20.8118026;-49.5124382;-20,8118026;-49,5124382;;;;;0;;0;AZUL;INATIVA
8694241000190;-27.2264119;-52.0151001;-27,2264119;-52,0151001;;;;;1;;0;VERDE;ALTA
8120965000120;-3.7595554;-38.5487607;-3,7595554;-38,5487607;;;;;0;;0;;INATIVA
6002882000100;-30.0321355;-51.2202006;-30,0321355;-51,2202006;;;;;0;;0;VERMELHO;BAIXA
7033801000100;-21.1355183;-47.9942569;-21,1355183;-47,9942569;;;;;0;;0;;INATIVA
4468285000140;-23.9246915;-52.4868793;-23,9246915;-52,4868793;;;;;0;;0;;INATIVA
4747846000140;-1.371868;-48.4788288;-1,371868;-48,4788288;;;;;0;;0;;INATIVA
6679321000140;-14.7562289;-43.9321492;-14,7562289;-43,9321492;;;;;0;;0;;INATIVA
4062884000160;-9.9726985;-67.81059;-9,9726985;-67,81059;;;;;0;;0;;INATIVA
6149328000150;-28.8910796;-53.0673905;-28,8910796;-53,0673905;;;;;0;;0;;INATIVA
4128245000150;-9.9757774;-67.8066658;-9,9757774;-67,8066658;;;;;0;;0;;INATIVA
2851333000150;-20.5446615;-47.4115309;-20,5446615;-47,4115309;;;;;0;;0;;INATIVA
2535035000150;-12.9780517;-38.4300306;-12,9780517;-38,4300306;;;;;0;;0;;INATIVA
2851629000170;-23.4204259;-51.9363137;-23,4204259;-51,9363137;;;;;0;;0;;INATIVA
3298323000100;-21.7246545;-48.1514486;-21,7246545;-48,1514486;;;;;0;;0;;INATIVA
3360480000190;-23.5370205;-46.6423194;-23,5370205;-46,6423194;;;;;0;;0;;INATIVA
7136359000130;-1.3856556;-48.4311816;-1,3856556;-48,4311816;;;;;0;;0;;INATIVA
10000580000170;-16.6624398;-49.2374028;-16,6624398;-49,2374028;;;;;0;;0;;INATIVA
14850788000130;-12.7882987;-38.400326;-12,7882987;-38,400326;;;;;0;;0;;INATIVA
10124345000100;-8.287212;-35.037295;-8,287212;-35,037295;;;;;0;;0;;INATIVA
10151262000100;-3.3331697;-43.5279287;-3,3331697;-43,5279287;;;;;0;;0;;INATIVA
1164086000150;-15.5879339;-56.0981356;-15,5879339;-56,0981356;;;;;0;;0;;INATIVA
3158521000160;-20.2650432;-40.4187347;-20,2650432;-40,4187347;;;;;0;;0;;INATIVA
10008335000100;-27.0086816;-53.4986586;-27,0086816;-53,4986586;;;;;0;;0;;INATIVA
63584437000130;-2.538548;-44.2211361;-2,538548;-44,2211361;;;;;0;;0;;INATIVA
9460474000190;-22.294824;-51.9078245;-22,294824;-51,9078245;;;;;0;;0;AMARELO;MEDIA
7919053000150;-5.3428035;-49.0817486;-5,3428035;-49,0817486;;2;1;3;0;9;0;VERMELHO;ALTA
8920368000180;-23.5169563;-46.5620008;-23,5169563;-46,5620008;;;;;0;;0;VERDE;INATIVA
8537016000140;-3.838627;-38.576911;-3,838627;-38,576911;;;;;0;;0;;INATIVA
1632130000100;-22.3170618;-49.065541;-22,3170618;-49,065541;;;;;0;;0;AZUL;MEDIA
86931169000180;-22.9066876;-43.1106422;-22,9066876;-43,1106422;;;;;0;;0;LARANJA;INATIVA
7231388000180;-3.7359768;-38.5527385;-3,7359768;-38,5527385;;;;;1;;0;AMARELO;MEDIA
11352161000160;-23.6889037;-46.7080098;-23,6889037;-46,7080098;;;;;0;;0;AZUL;MEDIA
4356526000160;-21.7523437;-48.8205102;-21,7523437;-48,8205102;;;;;1;;0;AZUL;MEDIA
80762511000180;-23.5541586;-51.4560389;-23,5541586;-51,4560389;;;;;0;;0;AMARELO;MEDIA
14419363000170;-3.1328078;-60.0241017;-3,1328078;-60,0241017;;;;;0;;0;AMARELO;ALTA
7667809000110;-2.5286526;-44.3021809;-2,5286526;-44,3021809;;1;0;1;1;;0;VERDE;MEDIA
15584589000190;-15.163825;-49.8031173;-15,163825;-49,8031173;;;;;0;;0;VERDE;ALTA
14227510000100;-23.5943299;-46.6918528;-23,5943299;-46,6918528;;;;;0;1;0;VERDE;ALTA
5823159000120;-28.6592119;-56.0066703;-28,6592119;-56,0066703;;;;;0;3;0;VERDE;ALTA
12863319000120;-22.4175999;-54.2309523;-22,4175999;-54,2309523;;;;;1;;1;AZUL;ALTA
9253921000130;-15.8586365;-50.8691439;-15,8586365;-50,8691439;;;;;0;;0;LARANJA;MEDIA
15702077000180;-1.402543;-48.4601313;-1,402543;-48,4601313;;;;;1;;1;AMARELO;MEDIA
15229514000190;-20.8458086;-41.1500161;-20,8458086;-41,1500161;;;;;1;;1;VERDE;ALTA
15417945000180;-19.9793554;-43.9697548;-19,9793554;-43,9697548;;;;;0;;0;AZUL;ALTA
8867612000430;-23.2860188;-47.6790285;-23,2860188;-47,6790285;;;;;0;;0;VERDE;MEDIA
8615750000260;-21.4152377;-50.0773225;-21,4152377;-50,0773225;;;;;0;;0;VERDE;MEDIA
8548657000280;-20.1936224;-47.7105454;-20,1936224;-47,7105454;;;;;0;;0;VERDE;ALTA
8460789000760;-21.6029893;-48.3644226;-21,6029893;-48,3644226;;;;;0;;0;VERDE;MEDIA
26200253000100;-19.9079388;-43.9442343;-19,9079388;-43,9442343;;;;;0;;0;AZUL;ALTA
15233189000130;-23.5925719;-46.6821464;-23,5925719;-46,6821464;;;;;0;;0;VERDE;ALTA
8151023000290;-22.0077937;-51.5531899;-22,0077937;-51,5531899;;;;;0;;0;VERDE;MEDIA
8442052000200;-23.5583624;-46.4218238;-23,5583624;-46,4218238;;;;;0;;0;VERDE;MEDIA
15600088000150;-26.8756586;-52.0145935;-26,8756586;-52,0145935;;;;;1;;1;VERDE;MEDIA
13686432000140;-18.6479575;-48.1934052;-18,6479575;-48,1934052;;;;;1;;1;VERDE;MEDIA
10420716000100;2.4444063;-60.9203557;2,4444063;-60,9203557;;;;;1;;0;AZUL;ALTA
3448286000160;-15.6684301;-58.0786629;-15,6684301;-58,0786629;;;;;0;6;0;VERDE;ALTA
63361117000110;-3.7283188;-38.5276509;-3,7283188;-38,5276509;;;;;0;;0;AZUL;ALTA
12013260000180;-14.8506206;-40.8401278;-14,8506206;-40,8401278;;;;;1;;1;VERDE;ALTA
11924341000170;-14.8389409;-39.0329828;-14,8389409;-39,0329828;;;;;0;;0;VERDE;ALTA
4052939000150;-20.0172748;-48.9360763;-20,0172748;-48,9360763;;;;;0;;0;LARANJA;MEDIA
9147451000120;-3.8807167;-38.6132859;-3,8807167;-38,6132859;;;;;0;;0;AZUL;ALTA
48466494000120;-23.1017868;-45.7047569;-23,1017868;-45,7047569;;;;;0;;0;AZUL;MEDIA
5027408000170;-9.9061054;-63.0330413;-9,9061054;-63,0330413;;;;;0;;0;LARANJA;BAIXA
40993396000130;-5.7892677;-35.2004938;-5,7892677;-35,2004938;;;;;0;;0;AMARELO;ALTA
13402752000120;-29.9182447;-51.1538618;-29,9182447;-51,1538618;;1;0;1;1;;1;VERDE;MEDIA
13029078000180;-23.5521806;-46.5397154;-23,5521806;-46,5397154;;;;;1;;0;AZUL;INATIVA
834577000280;-5.1772011;-37.335805;-5,1772011;-37,335805;;;;;0;;0;VERDE;ALTA
88531454000210;-27.3305573;-53.0599118;-27,3305573;-53,0599118;;;;;0;;0;AMARELO;MEDIA
5992546000190;-24.972341;-53.5039076;-24,972341;-53,5039076;;;;;1;;0;AZUL;MEDIA
5506962000130;-26.2646545;-48.8826813;-26,2646545;-48,8826813;;;;;1;;0;AZUL;MEDIA
11388126000100;-3.6092913;-45.3409755;-3,6092913;-45,3409755;;;;;0;;0;AZUL;MEDIA
7965262000300;-3.7245493;-38.5384093;-3,7245493;-38,5384093;;;;;0;;0;VERMELHO;ALTA
14307131000120;-22.9402849;-47.1078353;-22,9402849;-47,1078353;;;;;1;;1;AMARELO;INATIVA
76363761000170;-27.569979;-48.6126433;-27,569979;-48,6126433;;;;;0;;0;LARANJA;MEDIA
72834989000140;-23.6772394;-46.601775;-23,6772394;-46,601775;;1;0;1;1;;0;VERDE;ALTA
14561753000180;-23.6564863;-46.5539536;-23,6564863;-46,5539536;;;;;1;;1;VERDE;MEDIA
14567894000100;-20.7687346;-49.3755847;-20,7687346;-49,3755847;;1;0;1;0;;0;AZUL;MEDIA
14382772000140;-27.6580458;-48.6954248;-27,6580458;-48,6954248;;;;;0;;0;AZUL;MEDIA
15305586000170;-16.3598085;-49.5021364;-16,3598085;-49,5021364;;1;0;1;1;;1;VERDE;ALTA
75069450000130;-23.7796729;-50.0355595;-23,7796729;-50,0355595;;;;;1;;0;LARANJA;MEDIA
11353162000120;-16.6944829;-49.3156727;-16,6944829;-49,3156727;;;;;0;;0;AZUL;MEDIA
10469156000170;-28.26722;-52.4094369;-28,26722;-52,4094369;;;;;0;;0;AZUL;MEDIA
12093765000100;-24.1896991;-48.5300136;-24,1896991;-48,5300136;;1;0;1;1;;0;AZUL;BAIXA
